,x,y,z,roll,pitch,yaw,joint1,joint2,joint3,joint4,joint5,joint6,gripper
61,-2.012156596544082,242.48809615711863,205.368695446845,71.804045,-81.963389,-156.901742,89.865966,25.064955,28.087193,-4.801043,-89.753724,-7.3169,1
62,-0.9731864115229447,242.54417164061687,205.37368266111707,71.520775,-82.0907,-157.121242,89.865966,25.064955,28.087193,-4.284693,-89.744557,-7.196063,1
63,2.0900261274064134,242.69685424208072,205.40306451985745,70.327189,-82.440032,-159.638418,89.865966,25.064955,28.087193,-0.428458,-89.739973,-6.987278,1
64,3.5683351759614257,242.7025506444412,205.4137244580277,69.346285,-82.751893,-160.42125,89.865966,25.064955,28.087193,1.186538,-89.735389,-6.745604,1
65,1.8105329283621392,242.70237642948175,205.40087822830876,71.308379,-82.083309,-160.230971,89.877712,25.064955,28.087193,-0.966809,-89.735389,-7.360846,1
66,-0.8057136057885896,242.68337365320858,205.39370491182467,71.33422,-82.047728,-160.650777,90.606686,25.065528,28.087193,0.153782,-89.735389,-7.448738,1
67,-7.171302563093676,242.44558924591888,205.37071524263914,71.805993,-81.800669,-161.775779,92.907341,25.066846,28.087193,3.098155,-89.735389,-7.844251,1
68,-16.324997772773468,241.69648534883862,205.30049454401006,73.963752,-80.753015,-163.907526,95.97066,25.071659,28.087193,6.108418,-89.726279,-9.085678,1
69,-25.904120073547116,240.36430754996474,205.12964002142138,76.295518,-79.275758,-166.691299,99.169426,25.083634,28.087193,9.722922,-89.721696,-10.788566,1
70,-35.77184266850923,238.45132475069892,204.5334975845181,78.614966,-77.459425,-168.775547,102.330835,25.14431,28.087193,12.612291,-89.721696,-12.788074,1
71,-44.858907937508256,235.7742169591987,202.32171348568716,82.163065,-75.295993,-172.784762,105.495224,25.544521,28.087193,16.248797,-89.652998,-15.117205,1
72,-52.87598895654028,232.20533093657286,196.8628473296048,87.123848,-74.81786,-178.094763,108.460796,26.710719,28.087652,19.720462,-89.543162,-15.457771,1
73,-59.30094180173345,227.6706553203122,186.44057449194165,97.031147,-75.724795,172.340204,111.005645,29.504576,28.088167,22.192374,-89.543162,-13.447262,1
74,-64.24032985386039,225.10556104085316,173.51961162204506,108.679265,-75.41408,161.110002,112.544495,33.22439,28.754403,23.609643,-89.543162,-11.909157,1
75,-70.3215013214289,232.69078943753976,163.04037524032879,110.902341,-74.922196,160.57973,112.922418,37.487769,32.324503,22.379159,-89.543162,-12.030051,1
76,-76.09843807471292,244.8171338068902,153.61430381992756,108.508122,-74.737474,163.76125,112.922418,41.855254,37.307918,21.577132,-89.543162,-12.722184,1
77,-78.61562312684863,249.6878649194649,141.26776367923662,111.417659,-73.481322,160.931411,112.934508,46.190253,40.262489,21.64308,-89.543162,-13.194588,1
78,-79.94546068637888,248.31536180387187,127.26083425549221,118.289715,-72.034489,156.369923,112.955478,49.832202,41.53394,19.643572,-89.547746,-13.06275,1
79,-79.07197299142457,243.64416762018823,115.55496185371659,123.414994,-70.349878,152.040711,113.019649,52.708565,41.699181,19.160167,-89.872727,-12.897968,1
80,-77.94841326216853,240.48701366081784,108.88744886680719,125.708487,-69.374818,149.676171,113.031739,54.310612,41.703249,19.368896,-90.133652,-12.755129,1
81,-78.39765058158657,239.92756704386775,107.1033513471265,125.252928,-68.680508,150.777167,113.032484,54.512293,41.725308,18.830544,-90.138236,-13.458263,1
82,-80.67464222735082,241.20647646989252,107.38289921595191,124.195535,-68.507303,153.644592,113.032484,54.512752,42.05281,17.083768,-90.193183,-14.304178,1
83,-84.15258278251834,245.70188000583414,109.11131194858494,120.197493,-68.498136,159.399723,113.032484,54.515273,43.344716,15.292988,-90.38541,-15.787336,1
84,-86.53449446775912,250.04018360659964,110.7437124755577,116.333981,-68.94235,163.59366,113.030192,54.556354,44.509596,14.842529,-90.728784,-16.42458,1
85,-86.98416402403633,249.2280495029162,109.69416290476128,114.046619,-69.186774,166.462116,113.021196,55.251982,44.568439,14.17234,-92.230219,-16.501471,1
86,-86.34668567645883,246.83993209830166,107.97787695300993,104.594018,-68.501459,175.72203,113.017587,56.721332,44.568439,14.117451,-96.748335,-17.973629,1
87,-85.94189803471671,245.57431578592767,106.10635881329831,104.081565,-66.653555,176.471746,113.016899,57.267132,44.568439,14.018558,-96.995567,-19.643572,1
88,-85.86036653184141,245.4694415394164,105.7871999267799,103.764089,-66.065414,176.919226,113.016899,57.267132,44.568439,13.919666,-96.995567,-20.269757,1
89,-85.36016515633176,245.55552884197598,105.76329274738112,103.410689,-65.581666,176.689011,113.016899,57.267132,44.568439,14.523907,-96.995567,-20.643326,1
90,-84.95950040614917,245.62502549982426,105.77564855750671,104.225377,-67.165264,175.328351,113.016899,57.267132,44.568439,14.985367,-96.995567,-18.918436,1
91,-84.99318128056315,245.61053882238582,105.76486659765914,104.279522,-67.21471,175.415441,113.016899,57.267132,44.568439,14.842529,-96.995567,-18.896492,1
92,-84.99909927722972,245.60660572701175,105.72737102844803,104.276084,-67.068893,175.430338,113.016899,57.267132,44.568439,14.842529,-96.963481,-19.03933,1
93,-85.01008238281514,245.5983473762124,105.64925557302912,103.222186,-64.654964,176.624496,113.016899,57.267132,44.568439,14.842529,-96.858229,-21.698026,1
94,-85.08883101966113,245.58945987221725,105.64551840972673,100.326514,-56.871562,179.968622,113.016899,57.267132,44.568439,14.809584,-96.858229,-29.454328,1
95,-85.36057973515153,245.54222650396892,105.63633088533125,99.16616,-51.888949,-178.285558,113.016899,57.267132,44.568439,14.501963,-96.858229,-34.573992,1
96,-85.58859539124808,245.50369873537502,105.62473890226077,98.335658,-47.079713,-176.956812,113.016899,57.267132,44.568439,14.282234,-96.849061,-39.484871,1
97,-85.73001261233685,245.4784680265036,105.6237905282333,97.619862,-41.769769,-175.772909,113.016899,57.267132,44.568439,14.150396,-96.849061,-44.879154,1
98,-85.66086428277296,245.49509316767228,105.63204426713908,97.458689,-40.458956,-175.656656,113.016899,57.267132,44.568439,14.249288,-96.849061,-46.175528,1
99,-85.59680508430094,245.5067090607549,105.64223107460116,96.812106,-33.617668,-174.662746,113.016899,57.267132,44.568439,14.326179,-96.844478,-53.05297,1
100,-85.53733822303269,245.51708118444716,105.65405018046789,96.365485,-27.087783,-173.85373,113.016899,57.267017,44.568439,14.39207,-96.844478,-59.732684,1
101,-85.45186825389516,245.53414424644131,105.66448600820614,96.147303,-22.98827,-173.475348,113.016899,57.267017,44.568439,14.512964,-96.844478,-63.709698,1
102,-85.45933130033819,245.53317671333866,105.6677978687689,95.985901,-19.033371,-173.025978,113.016899,57.267017,44.568439,14.512964,-96.844478,-67.68677,1
103,-85.54627554813398,245.5190282173323,105.66548120440723,95.871137,-15.301755,-172.546125,113.016899,57.266902,44.568439,14.436015,-96.844478,-71.455056,1
104,-85.69738198846561,245.49369324724006,105.65846535767442,95.75666,-9.908961,-171.85531,113.016899,57.266902,44.568439,14.304178,-96.844478,-77.200906,1
105,-85.90599238265965,245.4537276909262,105.64645494163935,95.713058,-5.643462,-171.185236,113.016899,57.266902,44.568439,14.062504,-96.844478,-81.309816,1
106,-85.9496643074923,245.45012536712505,105.64308429216157,95.701026,-4.255128,-171.046236,113.016899,57.266902,44.568439,14.062504,-96.844478,-82.639135,1
107,-85.98742946229409,245.45014934471286,105.63514681133005,95.687561,-0.779967,-170.744173,113.016899,57.266902,44.568439,14.10645,-96.839894,-86.330588,1
108,-86.31603646627217,245.3896438191101,105.60151257581869,95.712256,0.930082,-170.245872,113.016899,57.266902,44.568439,13.776827,-96.83531,-87.912581,1
109,-86.85748933533871,245.27313628361955,105.51427264358209,95.773104,0.203916,-169.651944,113.016899,57.2661,44.568324,13.084694,-96.812449,-87.462179,1
110,-86.99903554576012,245.22415412167948,105.27571928567383,96.079923,1.996815,-169.377612,113.016899,57.2661,44.567923,13.007804,-96.514912,-89.154066,1
111,-86.96640393922205,245.2299622006221,105.23763907046096,96.088632,4.016606,-169.206354,113.016899,57.2661,44.567923,13.051749,-96.514912,-91.175519,1
112,-86.78965208957221,245.27100584203282,105.24063113709194,96.106394,7.152748,-169.123791,113.016899,57.266043,44.567923,13.304424,-96.514912,-94.273673,1
113,-86.77926059821125,245.2721477282527,105.2397797520906,96.152574,10.025673,-168.812389,113.016899,57.265814,44.567923,13.304424,-96.514912,-97.1631,1
114,-86.86167949969524,245.25845326172424,105.23595137545168,96.146501,9.497692,-168.803622,113.016899,57.265585,44.567923,13.238534,-96.514912,-96.64675,1
115,-87.09680839996017,245.21085059213135,105.2244525006194,96.157902,9.297558,-168.560001,113.016899,57.265126,44.567923,12.974858,-96.514912,-96.503912,1
116,-87.32781490006572,245.1644878351088,105.2151036282647,96.170679,9.24433,-168.322567,113.016899,57.265012,44.567923,12.733128,-96.514912,-96.503912,1
117,-87.47332100043413,245.14115657929497,105.22641726896886,96.184316,9.678747,-168.164431,113.016899,57.264611,44.567923,12.623292,-96.514912,-96.965315,1
118,-87.65215510253894,245.1228873156473,105.32302798554839,96.211761,10.741755,-167.914564,113.016899,57.263808,44.567923,12.480453,-96.514912,-98.063961,1
119,-88.01773361479948,245.19998822585796,105.91380664432145,96.095221,10.933009,-167.60213,113.018446,57.233155,44.567923,12.183833,-96.629332,-98.327636,1
120,-88.5968545862579,246.2274472011571,108.48989188038026,95.528623,10.803979,-167.693058,113.019764,56.836668,44.56947,12.172832,-96.784947,-98.27269,1
121,-90.05185790274803,249.63900841153526,115.32888863795996,93.788321,11.458755,-167.801634,113.019993,55.099747,44.5701,12.030051,-96.807866,-99.283445,1
122,-91.20352083023022,252.70030752786025,121.67957594737955,92.205067,12.019566,-168.173598,113.019993,53.468937,44.5701,12.128886,-96.762086,-100.14036,1
123,-91.42256307863326,253.04509028707668,122.61587504631721,92.665209,12.410495,-168.099515,113.019993,53.397375,44.569871,12.150888,-96.24482,-100.546874,1
124,-91.52466964156932,253.06028734714516,122.76442233052373,92.688185,14.369782,-167.972547,113.020108,53.397375,44.569871,12.117943,-96.24482,-102.513437,1
125,-91.75875077078261,253.0066438199373,122.73247093682512,92.777681,17.344349,-167.540193,113.020108,53.397375,44.569871,11.843267,-96.208208,-105.534643,1
126,-91.89569498312625,252.972398292033,122.609255290427,92.983774,20.053523,-167.219394,113.020108,53.397489,44.569871,11.711429,-96.061703,-108.270288,1
127,-91.93487912797484,252.96512267560632,122.57012480573677,93.026287,21.170676,-167.139409,113.020108,53.397948,44.569757,11.700428,-96.043368,-109.390878,1
