,x,y,z,joint1,joint2,joint3,joint4,joint5,joint6,gripper
80,-10.537785344249373,240.06367757474715,190.27619977766926,113.031739,54.310612,41.703249,19.368896,-90.133652,-12.755129,1.0
81,-10.24508028762025,240.47100354468827,192.16116116409853,113.032484,54.512293,41.725308,18.830544,-90.138236,-13.458263,1.0
82,-9.931635337132139,240.86022582342295,194.347415903578,113.032484,54.512752,42.05281,17.083768,-90.193183,-14.304178,1.0
83,-9.559453144258375,241.19276024957384,196.71488315394663,113.032484,54.515273,43.344716,15.292988,-90.38541,-15.787336,1.0
84,-9.093186300595663,241.45434166305463,199.08647051957107,113.030192,54.556354,44.509596,14.842529,-90.728784,-16.42458,1.0
85,-8.502565264013567,241.64967395399708,201.2567570968211,113.021196,55.251982,44.568439,14.17234,-92.230219,-16.501471,1.0
86,-7.770228979872329,241.7915769056195,203.08285383021544,113.017587,56.721332,44.568439,14.117451,-96.748335,-17.973629,1.0
87,-6.9025715483724,241.90198757607652,204.5502780781174,113.016899,57.267132,44.568439,14.018558,-96.995567,-19.643572,1.0
88,-5.918159335239062,242.00271829344607,205.6771972488667,113.016899,57.267132,44.568439,13.919666,-96.995567,-20.269757,1.0
89,-4.858098208497534,242.10405702463476,206.46158862799416,113.016899,57.267132,44.568439,14.523907,-96.995567,-20.643326,1.0
90,-3.782143813970513,242.20699399593568,206.89234953038175,113.016899,57.267132,44.568439,14.985367,-96.995567,-18.918436,1.0
91,-2.773223646849604,242.30601277297453,207.01452046118362,113.016899,57.267132,44.568439,14.842529,-96.995567,-18.896492,1.0
92,-1.9482467583100542,242.38676090040173,206.97848859939654,113.016899,57.267132,44.568439,14.842529,-96.963481,-19.03933,1.0
93,-1.4033432332927953,242.43632787092344,206.93931165899681,113.016899,57.267132,44.568439,14.842529,-96.858229,-21.698026,1.0
94,-1.1073474865671085,242.45827603312972,206.9448499064715,113.016899,57.267132,44.568439,14.809584,-96.858229,-29.454328,1.0
95,-0.9437226311910443,242.467245965169,206.96668804266739,113.016899,57.267132,44.568439,14.501963,-96.858229,-34.573992,1.0
96,-0.8143634719897238,242.47493976332578,206.97680183666014,113.016899,57.267132,44.568439,14.282234,-96.849061,-39.484871,1.0
97,-0.6822496602530448,242.48419386950673,206.97132048048255,113.016899,57.267132,44.568439,14.150396,-96.849061,-44.879154,1.0
98,-0.5354546018541737,242.49489371215924,206.95419540009985,113.016899,57.267132,44.568439,14.249288,-96.849061,-46.175528,1.0
99,-0.3928583457360678,242.50528249254944,206.9322172328491,113.016899,57.267132,44.568439,14.326179,-96.844478,-53.05297,1.0
100,-0.29074787815242664,242.51289400604298,206.9125449226474,113.016899,57.267017,44.568439,14.39207,-96.844478,-59.732684,1.0
101,-0.2542142925165579,242.51632741425973,206.89653634688523,113.016899,57.267017,44.568439,14.512964,-96.844478,-63.709698,1.0
102,-0.28221470071391275,242.5163496131009,206.87511326419022,113.016899,57.267017,44.568439,14.512964,-96.844478,-67.68677,1.0
103,-0.361058869713545,242.51454927139008,206.8377355898657,113.016899,57.266902,44.568439,14.436015,-96.844478,-71.455056,1.0
104,-0.4557155946003903,242.5133771212293,206.77972914310064,113.016899,57.266902,44.568439,14.304178,-96.844478,-77.200906,1.0
105,-0.5214535425607523,242.51561369339646,206.69971094385352,113.016899,57.266902,44.568439,14.062504,-96.844478,-81.309816,1.0
106,-0.5376136255750739,242.52284412758578,206.59090273570925,113.016899,57.266902,44.568439,14.062504,-96.844478,-82.639135,1.0
107,-0.5282817910592954,242.53439130768078,206.4375267348629,113.016899,57.266902,44.568439,14.10645,-96.839894,-86.330588,1.0
108,-0.5229580093556001,242.54863136085683,206.2335744348575,113.016899,57.266902,44.568439,13.776827,-96.83531,-87.912581,1.0
109,-0.5233488212721013,242.56265771911387,206.02199651062156,113.016899,57.2661,44.568324,13.084694,-96.812449,-87.462179,1.0
110,-0.5136111227062492,242.57306561557922,205.87195826267646,113.016899,57.2661,44.567923,13.007804,-96.514912,-89.154066,1.0
111,-0.48765744403891753,242.57823677201313,205.81599338990446,113.016899,57.2661,44.567923,13.051749,-96.514912,-91.175519,1.0
112,-0.46091980583799397,242.57977123797895,205.81632528940736,113.016899,57.266043,44.567923,13.304424,-96.514912,-94.273673,1.0
113,-0.4509539657487948,242.57982994563864,205.82417364117074,113.016899,57.265814,44.567923,13.304424,-96.514912,-97.1631,1.0
114,-0.46033543085318296,242.579326843464,205.82316117641122,113.016899,57.265585,44.567923,13.238534,-96.514912,-96.64675,1.0
